IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "March 30,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:03"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID     XYZ_X     XYZ_Y     XYZ_Z     LAB_L     LAB_A     LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
D18      50.23   58.38   36.90   80.95  -15.52   14.18   21.02  137.59
D19      45.16   44.63   55.64   72.65    6.28  -22.60   23.46  285.52
D20      50.66   50.16   26.79   76.16    6.26   21.43   22.32   73.71
D21      44.67   42.72   23.75   71.37   10.35   18.56   21.25   60.85
D22      52.12   48.16   26.83   74.93   15.43   19.21   24.64   51.22
E01       4.61    5.04    2.76   26.84   -3.13    9.44    9.94  108.33
E02       4.32    5.07    1.83   26.92   -7.44   17.84   19.33  112.64
E03       4.42    5.47    1.53   28.04  -10.88   22.95   25.40  115.37
E04       4.40    5.46    1.53   28.01  -10.93   22.94   25.41  115.47
E05      14.22   16.03    8.43   47.02   -7.41   15.13   16.84  116.11
E06      13.37   16.57    5.18   47.71  -15.77   30.32   34.18  117.48
E07      11.34   15.05    3.28   45.71  -21.01   38.12   43.52  118.87
E08      11.27   15.18    2.75   45.88  -22.22   42.33   47.81  117.69
E09      42.62   45.46   31.47   73.20   -3.53    8.71    9.40  112.08
E10      41.46   45.86   26.72   73.45   -8.12   16.86   18.71  115.71
E11      39.57   45.46   21.63   73.20  -12.85   25.75   28.77  116.51
E12      36.65   43.41   17.77   71.83  -16.32   31.51   35.49  117.38
E13      45.67   54.87   58.73   78.97  -19.55  -14.88   24.57  217.27
E14      56.90   47.02   56.69   74.21   30.63  -21.00   37.13  325.57
E15      68.42   71.38   30.24   87.67   -0.81   35.57   35.58   91.30
E16      29.11   30.06   25.22   61.71    0.52   -0.77    0.93  303.95
E17      48.21   40.41   23.83   69.76   27.25   15.64   31.41   29.85
E18      37.65   46.83   24.99   74.08  -22.79   20.97   30.97  137.38
E19      32.45   30.75   48.38   62.30   10.37  -32.45   34.06  287.72
E20      43.51   42.77   26.43   71.40    6.86   13.81   15.42   63.60
E21      51.80   49.82   31.10   75.96   10.15   14.05   17.33   54.14
E22      47.18   42.84   27.16   71.44   17.16   12.63   21.31   36.35
F01       1.75    2.10    1.55   16.02   -6.64    2.00    6.93  163.25
F02       1.68    2.29    1.39   16.95  -12.36    5.58   13.56  155.72
