IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 6,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
D17      54.70   48.76   31.85   75.30   20.43   11.76   23.57   29.93
D18      45.87   54.47   32.96   78.74  -17.95   16.00   24.05  138.29
D19      40.82   40.12   53.38   69.56    6.73  -25.51   26.38  284.78
D20      45.33   44.74   23.95   72.72    6.40   20.52   21.49   72.68
D21      40.01   38.24   21.22   68.19   10.10   17.96   20.60   60.65
D22      47.78   43.73   23.96   72.05   16.21   19.34   25.23   50.03
E01       4.15    4.61    2.49   25.58   -4.02    9.40   10.22  113.15
E02       3.84    4.56    1.66   25.44   -7.90   17.09   18.82  114.81
E03       3.98    5.01    1.44   26.77  -11.48   21.83   24.67  117.74
E04       3.96    4.99    1.44   26.71  -11.56   21.80   24.68  117.94
E05      12.80   14.58    7.65   45.05   -8.06   14.74   16.80  118.66
E06      11.94   14.91    4.67   45.51  -15.90   29.27   33.30  118.51
E07      10.07   13.46    2.94   43.45  -20.78   36.71   42.18  119.52
E08       9.97   13.53    2.48   43.54  -21.95   40.44   46.01  118.49
E09      37.61   40.20   27.73   69.61   -3.62    8.53    9.27  113.00
E10      36.58   40.61   23.86   69.90   -8.26   15.83   17.85  117.55
E11      35.06   40.54   19.47   69.85  -13.14   24.42   27.73  118.29
E12      32.69   39.03   16.02   68.78  -16.72   30.35   34.65  118.85
E13      42.30   51.76   57.14   77.14  -21.47  -16.41   27.02  217.39
E14      54.96   44.32   55.26   72.44   33.43  -22.54   40.32  326.01
E15      67.33   70.07   27.36   87.03   -0.44   39.18   39.18   90.65
E16      25.75   26.73   22.34   58.73   -0.05   -0.57    0.57  264.96
E17      46.13   37.83   21.42   67.90   29.47   17.05   34.05   30.05
E18      34.41   43.72   22.54   72.04  -24.78   21.99   33.13  138.41
E19      29.36   27.73   46.30   59.65   10.36  -34.58   36.10  286.68
E20      38.77   38.14   23.56   68.12    6.50   13.31   14.81   63.96
E21      46.55   44.65   27.60   72.66   10.14   14.01   17.29   54.10
E22      42.63   38.61   24.16   68.47   16.89   12.80   21.19   37.15
F01       1.57    1.92    1.39   15.03   -7.09    2.19    7.42  162.84
F02       1.53    2.10    1.28   16.01  -12.30    5.35   13.41  156.47
F03       1.84    2.79    1.23   19.18  -17.92   11.47   21.28  147.38
F04       1.83    2.77    1.24   19.11  -18.03   11.15   21.19  148.27
