IT8.7/2
ORIGINATOR  "DCS"
DESCRIPTOR  "calibration data"
CREATED  "Mai 29,1998"
MANUFACTURER  "DCS"
PROD_DATE  "1998:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X  XYZ_Y  XYZ_Z  LAB_L  LAB_A  LAB_B  LAB_C  LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
D17      58.15   53.09   36.63   77.93   17.63    9.33   19.95    27.9
D18      47.53   56.16   37.66   79.71  -17.49   10.99   20.66   147.9
D19      43.44   43.73   53.83   72.05    3.82  -21.69   22.03   280.0
D20      49.04   49.03   27.87   75.47    4.91   18.39   19.03    75.0
D21      42.97   41.72   24.79   70.68    8.36   15.46   17.58    61.6
D22      51.39   48.02   28.38   74.84   13.91   16.46   21.55    49.8
E01       4.08    4.58    2.57   25.50   -4.59    8.60    9.75   118.1
E02       3.52    4.17    1.31   24.20   -7.43   19.11   20.51   111.3
E03       3.72    4.63    1.02   25.65  -10.62   25.59   27.71   112.5
E04       3.71    4.63    1.02   25.64  -10.70   25.57   27.72   112.7
E05      13.31   15.04    8.58   45.68   -7.43   12.29   14.36   121.1
E06      11.69   14.42    4.79   44.82  -14.68   27.39   31.08   118.2
E07       9.57   12.38    2.45   41.81  -17.70   37.69   41.64   115.2
E08       9.56   12.41    1.81   41.86  -17.92   43.79   47.31   112.3
E09      41.20   44.38   32.38   72.48   -4.73    6.09    7.71   127.8
E10      39.51   44.01   28.09   72.23   -8.88   12.44   15.28   125.5
E11      37.41   43.02   22.02   71.57  -12.71   22.19   25.57   119.8
E12      34.49   40.79   17.80   70.03  -15.82   28.34   32.46   119.2
E13      42.66   52.53   57.31   77.59  -22.38  -15.79   27.39   215.2
E14      56.43   46.98   54.59   74.18   29.61  -18.83   35.09   327.5
E15      68.51   70.84   31.27   87.41    0.53   33.52   33.52    89.1
E16      28.94   30.22   26.29   61.84   -0.73   -2.43    2.54   253.2
E17      47.97   40.18   24.17   69.60   27.29   14.72   31.01    28.4
E18      35.39   44.79   25.55   72.75  -24.52   17.68   30.23   144.2
E19      30.66   29.67   45.80   61.37    7.85  -31.02   32.00   284.2
E20      42.02   41.99   27.48   70.86    4.72   11.09   12.05    66.9
E21      50.21   49.00   32.16   75.45    8.14   11.54   14.12    54.8
E22      45.18   41.44   27.93   70.48   15.63    9.69   18.40    31.8
F01       1.34    1.75    1.32   14.11   -9.51    1.54    9.64   170.8
F02       1.02    1.63    1.02   13.45  -17.16    4.52   17.75   165.2
F03       1.18    2.08    0.87   15.88  -22.00   11.05   24.62   153.3
F04       1.18    2.08    0.87   15.89  -22.12   11.05   24.73   153.5
F05       6.99    8.73    6.29   35.46  -13.34    3.92   13.91   163.6
F06       5.56    8.52    5.18   35.03  -26.81    8.51   28.13   162.4
F07       3.88    7.47    4.14   32.85  -39.24   10.43   40.61   165.1
F08       2.83    6.48    3.47   30.58  -46.53   10.74   47.76   167.0
