IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "June 9,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:05"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
D17      62.65   55.56   36.23   79.36   22.09   12.37   25.32   29.25
D18      51.41   63.52   40.02   83.71  -24.31   14.75   28.43  148.75
D19      43.54   43.34   57.23   71.78    5.26  -25.74   26.27  281.55
D20      47.98   48.82   26.61   75.34    2.57   20.29   20.45   82.78
D21      41.82   40.49   23.05   69.82    8.63   17.19   19.23   63.34
D22      52.52   48.34   27.21   75.04   16.00   18.75   24.65   49.52
E01       8.86   10.11    7.13   38.04   -7.31    4.73    8.71  147.09
E02       7.92   10.05    4.78   37.93  -15.03   15.56   21.63  134.01
E03       6.29    9.02    1.87   36.02  -22.95   33.12   40.29  124.72
E04       5.26    8.98    1.33   35.94  -34.20   39.04   51.90  131.22
E05      33.72   38.49   20.69   68.38  -11.38   19.34   22.44  120.47
E06      29.59   37.23   12.51   67.45  -22.39   37.19   43.41  121.05
E07      26.43   36.85    7.53   67.17  -33.65   53.34   63.07  122.25
E08      24.23   35.26    5.55   65.95  -37.67   59.93   70.79  122.15
E09      60.01   64.03   40.18   83.98   -3.98   14.99   15.51  104.87
E10      56.69   62.73   30.65   83.30   -9.09   27.40   28.87  108.35
E11      52.39   61.16   24.16   82.46  -16.35   36.93   40.39  113.88
E12      48.48   57.95   20.78   80.71  -19.22   40.40   44.74  115.44
E13      47.27   59.90   62.18   81.79  -27.18  -13.45   30.33  206.33
E14      61.46   49.01   57.96   75.46   36.16  -20.15   41.40  330.87
E15      78.26   83.12   31.95   93.07   -3.66   42.24   42.40   94.95
E16      25.87   26.85   23.10   58.83   -0.05   -1.84    1.84  268.44
E17      54.68   44.87   25.13   72.81   31.12   18.52   36.21   30.76
E18      40.11   53.93   29.25   78.42  -33.69   21.22   39.82  147.79
E19      31.98   30.62   52.15   62.18    9.16  -36.88   38.00  283.95
E20      39.89   39.89   25.48   69.39    4.53   12.01   12.84   69.33
E21      48.71   47.43   30.12   74.46    8.34   12.99   15.44   57.30
E22      44.90   40.45   26.20   69.79   17.83   11.44   21.18   32.68
F01       5.91    7.47    6.74   32.86  -13.45   -2.55   13.69  190.74
F02       4.99    7.86    6.05   33.69  -27.78    1.94   27.85  176.01
F03       3.84    7.45    4.94   32.80  -39.51    5.86   39.94  171.56
