IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 2,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
D17      63.09   56.86   36.48   80.10   19.91   13.30   23.94   33.74
D18      51.55   63.14   40.15   83.52  -23.09   14.23   27.12  148.36
D19      44.52   44.56   57.61   72.60    4.59  -24.70   25.12  280.53
D20      48.78   50.09   26.97   76.12    1.39   21.03   21.08   86.22
D21      42.55   41.52   23.01   70.54    7.72   18.49   20.04   67.34
D22      52.98   49.35   27.41   75.67   14.46   19.50   24.28   53.44
E01       9.14   10.39    6.64   38.53   -7.05    7.63   10.39  132.74
E02       8.21   10.43    4.19   38.61  -15.39   20.10   25.32  127.44
E03       6.95    9.71    1.74   37.32  -21.69   36.71   42.64  120.58
E04       5.53    9.02    1.22   36.02  -31.32   40.58   51.26  127.66
E05      35.58   40.37   20.17   69.74  -10.85   22.73   25.19  115.52
E06      31.78   39.28   11.77   68.95  -20.74   41.93   46.78  116.32
E07      28.57   38.71    6.63   68.54  -31.02   59.45   67.06  117.55
E08      26.40   37.05    4.95   67.32  -34.41   65.34   73.85  117.77
E09      60.40   65.03   40.69   84.50   -5.32   15.23   16.13  109.25
E10      57.30   63.89   31.20   83.91  -10.19   27.60   29.42  110.26
E11      53.02   62.03   23.57   82.93  -16.73   38.82   42.27  113.31
E12      49.65   59.18   20.08   81.39  -18.97   43.03   47.03  113.79
E13      47.48   59.46   62.40   81.55  -25.58  -14.08   29.20  208.83
E14      62.20   50.37   58.26   76.30   34.24  -19.00   39.16  330.97
E15      76.75   81.78   32.34   92.48   -4.12   40.62   40.83   95.79
E16      27.64   28.52   23.90   60.36    0.59   -0.70    0.92  310.13
E17      55.31   46.14   25.62   73.64   29.16   19.08   34.85   33.20
E18      41.13   54.39   29.97   78.69  -31.70   20.53   37.77  147.07
E19      33.28   31.95   52.85   63.30    8.97  -35.73   36.84  284.09
E20      41.37   41.48   26.03   70.51    4.28   12.98   13.67   71.75
E21      49.65   48.80   30.71   75.33    7.16   13.57   15.34   62.18
E22      45.95   41.84   26.61   70.76   16.62   12.40   20.74   36.73
F01       5.89    7.49    6.27   32.91  -13.91   -0.42   13.92  181.73
F02       4.68    7.72    5.52   33.40  -30.44    3.96   30.70  172.59
F03       3.53    7.24    4.42   32.34  -42.34    7.95   43.08  169.37
F04       2.56    6.41    3.41   30.42  -50.89   10.85   52.03  167.96
F05      21.20   25.10   14.54   57.17  -13.57   14.01   19.50  134.09
F06      13.48   21.41   11.82   53.40  -39.58   14.99   42.32  159.26
F07      10.34   20.39   10.07   52.28  -56.69   18.50   59.63  161.93
F08       9.33   19.63    9.36   51.42  -61.00   19.38   64.00  162.37
F09      40.46   45.57   33.71   73.27  -10.39    5.46   11.74  152.28
F10      35.02   44.22   27.74   72.37  -24.13   13.27   27.54  151.19
F11      31.39   43.74   25.85   72.05  -35.54   15.95   38.96  155.83
F12      29.68   43.21   24.81   71.70  -40.36   17.18   43.86  156.94
F13      40.04   52.95   60.44   77.85  -31.44  -18.53   36.49  210.51
F14      56.72   42.14   55.09   70.97   44.13  -24.90   50.67  330.57
F15      74.80   79.71   23.67   91.56   -4.12   53.50   53.66   94.40
F16      18.60   19.14   15.81   50.86    0.75   -0.06    0.75  355.43
F17      48.80   37.67   17.21   67.78   37.41   25.81   45.45   34.60
F18      32.23   46.29   21.48   73.73  -39.74   26.98   48.03  145.83
F19      24.74   22.51   48.36   54.57   13.59  -45.74   47.72  286.55
F20      48.15   48.74   33.52   75.29    3.25    9.23    9.79   70.60
F21      42.05   40.68   29.27   69.95    8.73    6.59   10.94   37.05
F22      53.41   48.89   34.24   75.39   16.79    8.35   18.75   26.44
G01       3.95    4.95    6.03   26.59  -11.17  -10.19   15.12  222.37
G02       3.55    5.40    6.74   27.84  -22.60  -11.21   25.23  206.38
G03       2.49    4.50    6.83   25.26  -30.00  -16.07   34.03  208.18
G04       2.46    4.72    7.07   25.92  -33.50  -15.94   37.10  205.45
G05      18.09   22.49   19.42   54.54  -17.79   -1.88   17.89  186.03
G06      15.12   22.41   22.32   54.45  -34.03   -7.91   34.94  193.09
G07      11.73   20.93   22.83   52.87  -49.09  -11.61   50.44  193.31
G08      10.21   19.57   23.30   51.35  -53.67  -15.13   55.76  195.74
G09      40.90   45.94   38.86   73.51  -10.08   -1.33   10.17  187.52
G10      36.04   45.10   40.64   72.96  -23.21   -4.62   23.67  191.26
G11      32.43   44.60   41.89   72.63  -34.26   -6.78   34.92  191.19
G12      29.97   43.73   43.20   72.05  -40.79   -9.43   41.87  193.02
G13      33.29   46.68   58.53   73.98  -37.04  -23.27   43.74  212.14
G14      51.30   34.47   51.76   65.34   54.62  -31.02   62.81  330.41
G15      73.32   77.91   17.22   90.74   -3.65   65.36   65.46   93.20
G16      11.82   12.09   10.28   41.36    1.19   -1.03    1.57  319.12
G17      42.94   30.34   11.25   61.94   45.93   31.43   55.65   34.38
G18      24.74   38.93   15.39   68.70  -47.33   31.75   56.99  146.15
G19      18.10   15.15   43.92   45.84   19.76  -55.51   58.92  289.59
G20      37.20   36.88   18.28   67.19    5.48   22.39   23.05   76.25
G21      31.06   28.96   13.66   60.74   12.03   22.47   25.49   61.84
G22      41.24   36.51   17.92   66.91   19.42   22.70   29.87   49.45
H01       4.16    4.87    6.77   26.37   -7.26  -13.89   15.67  242.40
H02       3.82    5.06    9.53   26.90  -14.52  -23.46   27.59  238.25
H03       3.17    4.64   11.09   25.67  -19.40  -30.63   36.26  237.65
H04       3.18    4.62   12.33   25.64  -19.03  -34.37   39.29  241.03
H05      14.93   17.22   20.82   48.53   -9.60  -15.15   17.94  237.64
H06      13.92   17.56   27.87   48.95  -17.66  -27.33   32.54  237.13
H07      11.45   16.42   33.06   47.53  -28.02  -37.95   47.17  233.56
H08       9.79   14.94   34.72   45.56  -32.05  -43.78   54.26  233.79
H09      43.21   46.12   41.28   73.63   -3.63   -4.28    5.61  229.70
H10      40.72   45.16   46.92   73.00   -8.40  -12.30   14.89  235.67
H11      39.27   45.43   51.71   73.17  -13.67  -17.46   22.17  231.94
H12      36.34   44.17   54.27   72.34  -19.55  -21.67   29.19  227.94
H13      27.49   40.82   56.16   70.05  -41.76  -27.61   50.06  213.47
H14      47.14   29.16   48.82   60.93   62.37  -35.31   71.67  330.48
H15      72.04   76.11   12.58   89.91   -2.75   75.74   75.79   92.08
