IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 12, 2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
D17      57.37   51.45   29.19   76.95   20.95   18.78   28.14   41.87
D18      42.53   54.83   29.62   78.94  -27.58   21.52   34.98  142.04
D19      36.50   36.88   53.13   67.19    4.19  -29.32   29.62  278.13
D20      42.98   43.11   24.18   71.63    5.28   18.20   18.95   73.82
D21      38.91   37.82   20.67   67.88    8.98   18.53   20.59   64.14
D22      47.68   44.13   24.03   72.32   15.77   19.67   25.21   51.28
E01       5.41    6.33    3.58   30.23   -6.88    9.40   11.65  126.20
E02       4.97    6.41    2.45   30.43  -13.05   18.08   22.30  125.82
E03       4.61    6.47    1.44   30.58  -18.26   28.36   33.73  122.78
E04       4.03    6.19    1.14   29.89  -23.27   31.09   38.83  126.81
E05      23.57   27.65   14.90   59.57  -12.04   17.23   21.02  124.95
E06      22.13   28.17    9.52   60.04  -20.60   33.71   39.51  121.43
E07      19.47   27.66    5.20   59.58  -31.38   50.68   59.61  121.76
E08      18.60   27.51    3.62   59.45  -35.26   59.52   69.18  120.64
E09      42.70   47.03   31.96   74.21   -6.65    9.71   11.77  124.41
E10      40.36   47.39   25.01   74.44  -14.75   21.55   26.11  124.39
E11      39.01   47.59   19.53   74.57  -19.52   32.39   37.82  121.08
E12      36.44   46.90   13.96   74.13  -25.93   44.75   51.72  120.09
E13      39.42   52.84   58.10   77.78  -32.08  -16.29   35.98  206.92
E14      56.70   44.87   55.73   72.80   37.17  -22.41   43.40  328.91
E15      71.93   76.26   25.00   89.98   -2.26   48.36   48.41   92.68
